batch size            Epoch               Prediction
1                       1                     0.44999999999999996
1                       2                     0.44999999999999996
1                       3                     0.44999999999999996
1                       4                     0.44999999999999996
1                       5                     0.44999999999999996
1                       6                     0.44999999999999996
1                       7                     0.44999999999999996
1                       8                     0.44999999999999996
1                       9                     0.44999999999999996
1                       10                     0.44999999999999996
2                       1                     0.44999999999999996
2                       2                     0.44999999999999996
2                       3                     0.44999999999999996
2                       4                     0.44999999999999996
2                       5                     0.44999999999999996
2                       6                     0.44999999999999996
2                       7                     0.44999999999999996
2                       8                     0.44999999999999996
2                       9                     0.44999999999999996
2                       10                     0.44999999999999996
3                       1                     0.44999999999999996
3                       2                     0.44999999999999996
3                       3                     0.44999999999999996
3                       4                     0.44999999999999996
3                       5                     0.44999999999999996
3                       6                     0.44999999999999996
3                       7                     0.44999999999999996
3                       8                     0.44999999999999996
3                       9                     0.44999999999999996
3                       10                     0.44999999999999996
4                       1                     0.44999999999999996
4                       2                     0.44999999999999996
4                       3                     0.44999999999999996
4                       4                     0.44999999999999996
4                       5                     0.44999999999999996
4                       6                     0.44999999999999996
4                       7                     0.44999999999999996
4                       8                     0.44999999999999996
4                       9                     0.44999999999999996
4                       10                     0.44999999999999996
5                       1                     0.44999999999999996
5                       2                     0.44999999999999996
5                       3                     0.44999999999999996
5                       4                     0.44999999999999996
5                       5                     0.44999999999999996
5                       6                     0.44999999999999996
5                       7                     0.44999999999999996
5                       8                     0.44999999999999996
5                       9                     0.44999999999999996
5                       10                     0.44999999999999996
6                       1                     0.44999999999999996
6                       2                     0.44999999999999996
6                       3                     0.44999999999999996
6                       4                     0.44999999999999996
6                       5                     0.44999999999999996
6                       6                     0.44999999999999996
6                       7                     0.44999999999999996
6                       8                     0.44999999999999996
6                       9                     0.44999999999999996
6                       10                     0.44999999999999996
7                       1                     0.44999999999999996
7                       2                     0.44999999999999996
7                       3                     0.44999999999999996
7                       4                     0.44999999999999996
7                       5                     0.44999999999999996
7                       6                     0.44999999999999996
7                       7                     0.44999999999999996
7                       8                     0.44999999999999996
7                       9                     0.44999999999999996
7                       10                     0.44999999999999996
8                       1                     0.44999999999999996
8                       2                     0.44999999999999996
8                       3                     0.44999999999999996
8                       4                     0.44999999999999996
8                       5                     0.44999999999999996
8                       6                     0.44999999999999996
8                       7                     0.44999999999999996
8                       8                     0.44999999999999996
8                       9                     0.44999999999999996
8                       10                     0.44999999999999996
9                       1                     0.44999999999999996
9                       2                     0.44999999999999996
9                       3                     0.44999999999999996
9                       4                     0.44999999999999996
9                       5                     0.44999999999999996
9                       6                     0.44999999999999996
9                       7                     0.44999999999999996
9                       8                     0.44999999999999996
9                       9                     0.44999999999999996
9                       10                     0.44999999999999996
10                       1                     0.44999999999999996
10                       2                     0.44999999999999996
10                       3                     0.44999999999999996
10                       4                     0.44999999999999996
10                       5                     0.44999999999999996
10                       6                     0.44999999999999996
10                       7                     0.44999999999999996
10                       8                     0.44999999999999996
10                       9                     0.44999999999999996
10                       10                     0.44999999999999996
