batch size            Epoch               Prediction
1                       1                     0.6
1                       2                     0.6
1                       3                     0.6
1                       4                     0.65
2                       1                     0.5
2                       2                     0.44999999999999996
2                       3                     0.55
2                       4                     0.55
3                       1                     0.4
3                       2                     0.5
3                       3                     0.5
3                       4                     0.55
4                       1                     0.5
4                       2                     0.6
4                       3                     0.55
4                       4                     0.55
