batch size            Epoch               Prediction
1                       1                     0.55
1                       2                     0.65
1                       3                     0.55
1                       4                     0.55
1                       5                     0.5
1                       6                     0.6
1                       7                     0.7
1                       8                     0.55
1                       9                     0.6
1                       10                     0.55
2                       1                     0.44999999999999996
2                       2                     0.5
2                       3                     0.5
2                       4                     0.6
2                       5                     0.55
2                       6                     0.4
2                       7                     0.44999999999999996
2                       8                     0.55
2                       9                     0.55
2                       10                     0.5
3                       1                     0.55
3                       2                     0.55
3                       3                     0.55
3                       4                     0.55
3                       5                     0.55
3                       6                     0.55
3                       7                     0.6
3                       8                     0.5
3                       9                     0.6
3                       10                     0.5
4                       1                     0.5
4                       2                     0.5
4                       3                     0.5
4                       4                     0.5
4                       5                     0.44999999999999996
4                       6                     0.44999999999999996
4                       7                     0.5
4                       8                     0.5
4                       9                     0.55
4                       10                     0.5
5                       1                     0.5
5                       2                     0.55
5                       3                     0.55
5                       4                     0.55
5                       5                     0.55
5                       6                     0.5
5                       7                     0.5
5                       8                     0.5
5                       9                     0.5
5                       10                     0.44999999999999996
6                       1                     0.44999999999999996
6                       2                     0.5
6                       3                     0.5
6                       4                     0.55
6                       5                     0.5
6                       6                     0.55
6                       7                     0.5
6                       8                     0.5
6                       9                     0.44999999999999996
6                       10                     0.55
7                       1                     0.55
7                       2                     0.5
7                       3                     0.5
7                       4                     0.55
7                       5                     0.5
7                       6                     0.55
7                       7                     0.5
7                       8                     0.55
7                       9                     0.5
7                       10                     0.5
8                       1                     0.55
8                       2                     0.5
8                       3                     0.5
8                       4                     0.44999999999999996
8                       5                     0.5
8                       6                     0.6
8                       7                     0.5
8                       8                     0.55
8                       9                     0.5
8                       10                     0.44999999999999996
9                       1                     0.5
9                       2                     0.44999999999999996
9                       3                     0.44999999999999996
9                       4                     0.5
9                       5                     0.55
9                       6                     0.5
9                       7                     0.5
9                       8                     0.5
9                       9                     0.5
9                       10                     0.55
10                       1                     0.5
10                       2                     0.5
10                       3                     0.44999999999999996
10                       4                     0.5
10                       5                     0.5
10                       6                     0.5
10                       7                     0.55
10                       8                     0.5
10                       9                     0.55
10                       10                     0.55
