batch size            Epoch               Prediction
1                       1                     0.5
1                       2                     0.5
1                       3                     0.44999999999999996
1                       4                     0.5
1                       5                     0.44999999999999996
1                       6                     0.44999999999999996
1                       7                     0.44999999999999996
1                       8                     0.44999999999999996
1                       9                     0.55
1                       10                     0.55
2                       1                     0.5
2                       2                     0.44999999999999996
2                       3                     0.55
2                       4                     0.44999999999999996
2                       5                     0.4
2                       6                     0.55
2                       7                     0.55
2                       8                     0.5
2                       9                     0.55
2                       10                     0.6
3                       1                     0.6
3                       2                     0.55
3                       3                     0.55
3                       4                     0.55
3                       5                     0.6
3                       6                     0.55
3                       7                     0.55
3                       8                     0.5
3                       9                     0.6
3                       10                     0.55
4                       1                     0.5
4                       2                     0.55
4                       3                     0.6
4                       4                     0.5
4                       5                     0.44999999999999996
4                       6                     0.5
4                       7                     0.6
4                       8                     0.6
4                       9                     0.55
4                       10                     0.55
5                       1                     0.55
5                       2                     0.55
5                       3                     0.55
5                       4                     0.55
5                       5                     0.55
5                       6                     0.5
5                       7                     0.44999999999999996
5                       8                     0.55
5                       9                     0.5
5                       10                     0.65
6                       1                     0.55
6                       2                     0.5
6                       3                     0.55
6                       4                     0.6
6                       5                     0.6
6                       6                     0.55
6                       7                     0.7
6                       8                     0.4
6                       9                     0.5
6                       10                     0.55
7                       1                     0.5
7                       2                     0.5
7                       3                     0.5
7                       4                     0.6
7                       5                     0.35
7                       6                     0.6
7                       7                     0.44999999999999996
7                       8                     0.5
7                       9                     0.55
7                       10                     0.6
8                       1                     0.5
8                       2                     0.55
8                       3                     0.5
8                       4                     0.55
8                       5                     0.55
8                       6                     0.5
8                       7                     0.6
8                       8                     0.55
8                       9                     0.5
8                       10                     0.55
9                       1                     0.55
9                       2                     0.55
9                       3                     0.55
9                       4                     0.65
9                       5                     0.6
9                       6                     0.55
9                       7                     0.55
9                       8                     0.55
9                       9                     0.55
9                       10                     0.55
10                       1                     0.6
10                       2                     0.6
10                       3                     0.65
10                       4                     0.7
10                       5                     0.65
10                       6                     0.65
10                       7                     0.5
10                       8                     0.44999999999999996
10                       9                     0.5
10                       10                     0.55
